sample_id	cell_type	file_path
GSM5652360_Gastric-fundus-Epithelial	Gastric	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652360_Gastric-fundus-Epithelial-Z000000SK.hg38.pat.gz
GSM5652361_Gastric-fundus-Epithelial	Gastric	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652361_Gastric-fundus-Epithelial-Z000000SV.hg38.pat.gz
GSM5652362_Gastric-body-Epithelial	Gastric	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652362_Gastric-body-Epithelial-Z000000SD.hg38.pat.gz
GSM5652363_Gastric-body-Epithelial	Gastric	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652363_Gastric-body-Epithelial-Z000000SM.hg38.pat.gz
GSM5652364_Gastric-body-Epithelial	Gastric	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652364_Gastric-body-Epithelial-Z000000ST.hg38.pat.gz
GSM5652365_Gastric-antrum-Epithelial	Gastric	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652365_Gastric-antrum-Epithelial-Z000000SF.hg38.pat.gz
GSM5652366_Gastric-antrum-Epithelial	Gastric	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652366_Gastric-antrum-Epithelial-Z000000SP.hg38.pat.gz
GSM5652367_Gastric-antrum-Epithelial	Gastric	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652367_Gastric-antrum-Epithelial-Z000000SR.hg38.pat.gz
GSM5652368_Gastric-antrum-Endocrine	Gastric	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652368_Gastric-antrum-Endocrine-Z00000437.hg38.pat.gz
GSM5652369_Gastric-antrum-Endocrine	Gastric	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652369_Gastric-antrum-Endocrine-Z00000438.hg38.pat.gz
GSM5652313_Granulocytes-Z000000TZ	Granulocytes	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652313_Blood-Granulocytes-Z000000TZ.hg38.pat.gz
GSM5652314_Granulocytes-Z000000UD	Granulocytes	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652314_Blood-Granulocytes-Z000000UD.hg38.pat.gz
GSM5652315_Granulocytes-Z000000UT	Granulocytes	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652315_Blood-Granulocytes-Z000000UT.hg38.pat.gz
GSM5652302_Monocytes-Z000000TP	Monocytes	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652302_Blood-Monocytes-Z000000TP.hg38.pat.gz
GSM5652303_Monocytes-Z000000U3	Monocytes	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652303_Blood-Monocytes-Z000000U3.hg38.pat.gz
GSM5652304_Monocytes-Z000000UH	Monocytes	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652304_Blood-Monocytes-Z000000UH.hg38.pat.gz
GSM5652299_NK-Z000000TM	NK-cells	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652299_Blood-NK-Z000000TM.hg38.pat.gz
GSM5652300_NK-Z000000U1	NK-cells	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652300_Blood-NK-Z000000U1.hg38.pat.gz
GSM5652301_NK-Z000000UF	NK-cells	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652301_Blood-NK-Z000000UF.hg38.pat.gz
OAC_069-009	OAC	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/OAC_069-009_ScrBsl_tumour.pat.gz
OAC_071-021	OAC	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/OAC_071-021_ScrBsl_tumour.pat.gz
OAC_071-022	OAC	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/OAC_071-022_ScrBsl_tumour.pat.gz
OAC_071-043	OAC	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/OAC_071-043_ScrBsl_tumour.pat.gz
OAC_129-001	OAC	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/OAC_129-001_ScrBsl_tumour.pat.gz
GSM5652378_Small-int-Epithelial	Small-intestine	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652378_Small-int-Epithelial-Z0000042V.hg38.pat.gz
GSM5652379_Small-int-Epithelial	Small-intestine	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652379_Small-int-Epithelial-Z000000RT.hg38.pat.gz
GSM5652279_CD4-Z000000TT	T-cells	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652279_Blood-T-CD4-Z000000TT.hg38.pat.gz
GSM5652280_CD4-Z000000U7	T-cells	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652280_Blood-T-CD4-Z000000U7.hg38.pat.gz
GSM5652281_CD4-Z000000UM	T-cells	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652281_Blood-T-CD4-Z000000UM.hg38.pat.gz
GSM5652285_CenMem-CD4-Z00000417	T-cells	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652285_Blood-T-CenMem-CD4-Z00000417.hg38.pat.gz
GSM5652286_CenMem-CD4-Z0000041D	T-cells	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652286_Blood-T-CenMem-CD4-Z0000041D.hg38.pat.gz
GSM5652287_CenMem-CD4-Z0000041N	T-cells	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652287_Blood-T-CenMem-CD4-Z0000041N.hg38.pat.gz
GSM5652291_EffMem-CD4-Z00000416	T-cells	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652291_Blood-T-EffMem-CD4-Z00000416.hg38.pat.gz
GSM5652292_EffMem-CD4-Z0000041C	T-cells	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652292_Blood-T-EffMem-CD4-Z0000041C.hg38.pat.gz
GSM5652293_EffMem-CD4-Z0000041M	T-cells	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652293_Blood-T-EffMem-CD4-Z0000041M.hg38.pat.gz
GSM5652282_CD8-Z000000TR	T-cells	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652282_Blood-T-CD8-Z000000TR.hg38.pat.gz
GSM5652283_CD8-Z000000U5	T-cells	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652283_Blood-T-CD8-Z000000U5.hg38.pat.gz
GSM5652284_CD8-Z000000UK	T-cells	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652284_Blood-T-CD8-Z000000UK.hg38.pat.gz
GSM5652288_Eff-CD8-Z00000419	T-cells	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652288_Blood-T-Eff-CD8-Z00000419.hg38.pat.gz
GSM5652289_Eff-CD8-Z0000041F	T-cells	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652289_Blood-T-Eff-CD8-Z0000041F.hg38.pat.gz
GSM5652290_Eff-CD8-Z0000041Q	T-cells	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652290_Blood-T-Eff-CD8-Z0000041Q.hg38.pat.gz
GSM5652294_EffMem-CD8-Z0000041A	T-cells	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652294_Blood-T-EffMem-CD8-Z0000041A.hg38.pat.gz
GSM5652295_EffMem-CD8-Z0000041G	T-cells	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652295_Blood-T-EffMem-CD8-Z0000041G.hg38.pat.gz
GSM5652297_Naive-CD8-Z0000041B	T-cells	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652297_Blood-T-Naive-CD8-Z0000041B.hg38.pat.gz
GSM5652298_Naive-CD8-Z0000041H	T-cells	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652298_Blood-T-Naive-CD8-Z0000041H.hg38.pat.gz
GSM5652233_Hepatocytes-Z000000R3	Hepatocytes	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652233_Liver-Hepatocytes-Z000000R3.hg38.pat.gz
GSM5652234_Hepatocytes-Z000000T3	Hepatocytes	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652234_Liver-Hepatocytes-Z000000T3.hg38.pat.gz
GSM5652235_Hepatocytes-Z0000043Q	Hepatocytes	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652235_Liver-Hepatocytes-Z0000043Q.hg38.pat.gz
GSM5652236_Hepatocytes-Z0000044H	Hepatocytes	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652236_Liver-Hepatocytes-Z0000044H.hg38.pat.gz
GSM5652237_Hepatocytes-Z0000044M	Hepatocytes	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652237_Liver-Hepatocytes-Z0000044M.hg38.pat.gz
GSM5652238_Hepatocytes-Z00000431	Hepatocytes	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652238_Liver-Hepatocytes-Z00000431.hg38.pat.gz
